oid,kod KTS,powiat,powierzchnia,rok,TERYT,Typ powiatu,TERYT województwa,Województwo,Przestępstwa stwierdzone przez Policję w zakończonych postępowaniach przygotowawczych|ogółem
7,011212210000,nowosądecki,1549.0,2020,1210,powiat,12,małopolskie,11958.0
2,011212416000,tarnowski,1412.0,2020,1216,powiat,12,małopolskie,2860.0
5,020811301000,gorzowski,1214.0,2020,0801,powiat,08,lubuskie,1108.0
40,023015810000,koniński,1578.0,2020,3010,powiat,30,wielkopolskie,1163.0
13,023016121000,poznański,1900.0,2020,3021,powiat,30,wielkopolskie,5260.0
14,023216309000,koszaliński,1653.0,2020,3209,powiat,32,zachodniopomorskie,881.0
15,023216403000,drawski,1764.0,2020,3203,powiat,32,zachodniopomorskie,1141.0
16,023216410000,myśliborski,1182.0,2020,3210,powiat,32,zachodniopomorskie,1307.0
17,023216417000,wałecki,1415.0,2020,3217,powiat,32,zachodniopomorskie,1096.0
19,030210302000,dzierżoniowski,479.0,2020,0202,powiat,02,dolnośląskie,1638.0
20,030210324000,ząbkowicki,802.0,2020,0224,powiat,02,dolnośląskie,1118.0
21,040410818000,włocławski,1474.0,2020,0418,powiat,04,kujawsko-pomorskie,1022.0
52,040410603000,bydgoski,1394.0,2020,0403,powiat,04,kujawsko-pomorskie,1596.0
54,051011963000,Skierniewice,35.0,2020,1063,miasto na prawach powiatu,10,łódzkie,1015.0
56,060610961000,Biała Podlaska,49.0,2020,0661,miasto na prawach powiatu,06,lubelskie,1072.0
60,012414571000,Piekary Śląskie,40.0,2020,2471,miasto na prawach powiatu,24,śląskie,8298.0
64,011216911000,nowotarski,1474.0,2020,1211,powiat,12,małopolskie,2195.0
69,062013702000,białostocki,2975.0,2020,2002,powiat,20,podlaskie,1847.0
68,062013807000,łomżyński,1355.0,2020,2007,powiat,20,podlaskie,479.0
73,011212006000,krakowski,1231.0,2020,1206,powiat,12,małopolskie,4366.0
87,011212463000,Tarnów,72.0,2020,1263,miasto na prawach powiatu,12,małopolskie,2522.0
123,020811361000,Gorzów Wielkopolski,86.0,2020,0861,miasto na prawach powiatu,08,lubuskie,3233.0
97,012414604000,częstochowski,1521.0,2020,2404,powiat,24,śląskie,1357.0
151,023015963000,Leszno,32.0,2020,3063,miasto na prawach powiatu,30,wielkopolskie,1862.0
153,023016019000,pilski,1268.0,2020,3019,powiat,30,wielkopolskie,2476.0
299,060611064000,Zamość,30.0,2020,0664,miasto na prawach powiatu,06,lubelskie,1060.0
321,061813462000,Przemyśl,46.0,2020,1862,miasto na prawach powiatu,18,podkarpackie,885.0
210,031613209000,opolski,1534.0,2020,1609,powiat,16,opolskie,1352.0
234,042214163000,Słupsk,43.0,2020,2263,miasto na prawach powiatu,22,pomorskie,1738.0
242,060611109000,lubelski,1680.0,2020,0609,powiat,06,lubelskie,1334.0
1,011212303000,chrzanowski,370.0,2020,1203,powiat,12,małopolskie,2264.0
102,012414766000,Gliwice,134.0,2020,2466,miasto na prawach powiatu,24,śląskie,5328.0
103,012414778000,Zabrze,80.0,2020,2478,miasto na prawach powiatu,24,śląskie,3942.0
71,012414863000,Chorzów,33.0,2020,2463,miasto na prawach powiatu,24,śląskie,2657.0
104,012414869000,Katowice,165.0,2020,2469,miasto na prawach powiatu,24,śląskie,9855.0
61,012414870000,Mysłowice,66.0,2020,2470,miasto na prawach powiatu,24,śląskie,1738.0
62,012414872000,Ruda Śląska,78.0,2020,2472,miasto na prawach powiatu,24,śląskie,12619.0
